                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6781,                 2.4504,                 1.9485,                0.04337,                0.32133,                0.02204,                0.00743,                 2.4614,                    inf,                 9.0425,             0.00055139,             0.00055139,             0.00055139
                      2,                 1.8738,                 2.2128,                 2.0687,                0.00311,                0.32593,                0.00231,                0.00075,                 3.5753,                 201.97,                 5.5098,              0.0010961,              0.0010961,              0.0010961
                      3,                 1.8178,                 2.1865,                 2.0109,                0.23865,                0.32628,                0.19771,                0.07342,                 2.0348,                 3.3197,                 2.6307,              0.0016298,              0.0016298,              0.0016298
                      4,                 1.7996,                 2.1313,                 2.0215,                0.33333,                0.40535,                0.30753,                0.11951,                 2.2237,                 2.0532,                 2.6686,              0.0016175,              0.0016175,              0.0016175
                      5,                   1.72,                  2.011,                 1.9232,                0.45281,                0.41517,                0.37509,                0.14858,                 1.8422,                 2.3584,                 2.1982,               0.001601,               0.001601,               0.001601
                      6,                 1.6613,                 1.9454,                 1.8968,                0.49452,                0.42863,                0.43035,                0.19551,                 1.9599,                 1.8991,                 2.3113,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.6301,                 1.8484,                   1.87,                0.63439,                0.38059,                0.43238,                0.20893,                 1.8517,                 2.2224,                 2.2119,               0.001568,               0.001568,               0.001568
                      8,                 1.5879,                 1.7896,                 1.8132,                0.57229,                0.56207,                0.59444,                0.29369,                 1.6444,                 1.7036,                 1.9685,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.6017,                 1.7434,                 1.8185,                0.52841,                0.58775,                0.60893,                0.32667,                 1.6179,                 1.5778,                 1.8966,               0.001535,               0.001535,               0.001535
                     10,                 1.5931,                 1.6878,                 1.8035,                0.67762,                0.50451,                0.58479,                 0.3058,                 1.5911,                 1.8601,                  1.881,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.5302,                 1.6393,                 1.7793,                0.62896,                 0.5862,                0.67623,                0.36218,                  1.578,                 1.4576,                  1.827,               0.001502,               0.001502,               0.001502
